cv,sp,pv
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
1000,10000,8009
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
980.09,10000,7849.72
959.01532,10000,7681.12256
959.01532,10000,7681.12256
959.01532,10000,7681.12256
959.01532,10000,7681.12256
959.01532,10000,7681.12256
936.77693,10000,7503.21544
936.77693,10000,7503.21544
