mv,sp,pv,ce,pe
1.0,10000,10.0,9990.0,9990.0
1.0999,10000,11.0499,9988.9501,9988.9501
1.2097684621499,10000,12.32693,9987.67307,9987.67307
1.3305961810533988,10000,13.88856,9986.11144,9986.11144
1.4634709985097754,10000,15.80829,9984.19171,9984.19171
1.6095867486212425,10000,18.18037,9981.81963,9981.81963
1.7702527946569964,10000,21.12596,9978.87404,9978.87404
1.9469040912253979,10000,24.8012,9975.1988,9975.1988
2.1411116447704646,10000,29.40768,9970.59232,9970.59232
2.3545931579865744,10000,35.20612,9964.79388,9964.79388
2.589223512892519,10000,42.53418,9957.46582,9957.46582
2.847044559192195,10000,51.82964,9948.17036,9948.17036
3.130273402165746,10000,63.66038,9936.33962,9936.33962
3.441307998439463,10000,78.76316,9921.23684,9921.23684
3.782728315358505,10000,98.09344,9901.90656,9901.90656
4.1572905385639665,10000,122.88872,9877.11128,9877.11128
4.567910751290841,10000,154.7485,9845.2515,9845.2515
5.017633053050964,10000,195.73333,9804.26667,9804.26667
5.509575178094143,10000,248.48502,9751.51498,9751.51498
6.046842226920355,10000,316.36769,9683.63231,9683.63231
6.632396194541139,10000,403.6249,9596.3751,9596.3751
7.268865811487432,10000,515.54019,9484.45981,9484.45981
7.958278468020787,10000,658.5744,9341.4256,9341.4256
8.70169513015177,10000,840.43207,9159.56793,9159.56793
9.498732806659522,10000,1069.98,8930.02,8930.02
10.346971546040779,10000,1356.90547,8643.09453,8643.09453
11.241270077757285,10000,1710.97217,8289.027829999999,8289.027829999999
12.173062082948048,10000,2140.73229,7859.26771,7859.26771
13.129775620551438,10000,2651.62659,7348.37341,7348.37341
14.094600561044702,10000,3243.60118,6756.39882,6756.39882
15.04688798703484,10000,3908.70677,6091.29323,6091.29323
15.963438056314775,10000,4629.53757,5370.46243,5370.46243
16.82074849966548,10000,5379.55928,4620.44072,4620.44072
17.597941212752815,10000,6126.03193,3873.96807,3873.96807
18.27967983631223,10000,6835.22703,3164.77297,3164.77297
18.85819020277438,10000,7478.40065,2521.5993500000004,2521.5993500000004
19.333718204349303,10000,8036.38842,1963.6115799999998,1963.6115799999998
19.713357333854475,10000,8501.30808,1498.6919199999993,1498.6919199999993
20.00879982737768,10000,8875.29498,1124.7050199999994,1124.7050199999994
20.23383980347795,10000,9167.41948,832.5805199999995,832.5805199999995
20.40230281212971,10000,9390.25417,609.7458299999998,609.7458299999998
20.526705002750646,10000,9557.10856,442.8914399999994,442.8914399999994
20.61761602212188,10000,9680.28682,319.71318000000065,319.71318000000065
20.683533257946394,10000,9770.26003,229.73997000000054,229.73997000000054
20.73105160104814,10000,9835.46496,164.53504000000066,164.53504000000066
20.765161445092346,10000,9882.44938,117.55061999999998,117.55061999999998
20.78957102111505,10000,9916.16404,83.83596000000034,83.83596000000034
20.807000157560484,10000,9940.28421,59.7157900000002,59.7157900000002
20.81942522207987,10000,9957.50315,42.49684999999954,42.49684999999954
20.828272821987362,10000,9969.77648,30.223519999999553,30.223519999999553
20.83456785918937,10000,9978.51506,21.48494000000028,21.48494000000028
20.839044153593175,10000,9984.73203,15.267970000000787,15.267970000000787
20.842225852602834,10000,9989.15255,10.847449999999299,10.847449999999299
20.84448670263108,10000,9992.29447,7.705529999999271,7.705529999999271
20.846092880807298,10000,9994.527,5.472999999999956,5.472999999999956
20.847233787470664,10000,9996.11301,3.8869900000008784,3.8869900000008784
20.84804411736326,10000,9997.23959,2.7604100000007747,2.7604100000007747
20.848619608857877,10000,9998.03972,1.9602799999993294,1.9602799999993294
20.848210917537408,10000,9997.47149,2.5285100000000966,2.5285100000000966
20.848210917537408,10000,9997.47149,2.5285100000000966,2.5285100000000966
20.847683768439538,10000,9996.73859,3.2614099999991595,3.2614099999991595
20.84836369688273,10000,9997.68391,2.3160900000002584,2.3160900000002584
20.84788083001598,10000,9997.01257,2.9874299999992218,2.9874299999992218
20.848503645862262,10000,9997.87849,2.1215100000008533,2.1215100000008533
20.848061342772564,10000,9997.26353,2.7364699999998265,2.7364699999998265
20.847490841828336,10000,9996.47038,3.5296199999993405,3.5296199999993405
20.846755004622086,10000,9995.44742,4.55257999999958,4.55257999999958
20.845805939423098,10000,9994.12814,5.8718599999992875,5.8718599999992875
20.844581902882464,10000,9992.42679,7.573210000000472,7.573210000000472
20.843003298921335,10000,9990.2329,9.767099999999118,9.767099999999118
20.84402117740894,10000,9991.64748,8.352520000000368,8.352520000000368
20.842280176371293,10000,9989.22804,10.771960000000036,10.771960000000036
20.84452529845498,10000,9992.34812,7.651879999999437,7.651879999999437
20.84293030039257,10000,9990.13146,9.868539999999484,9.868539999999484
20.840873407478703,10000,9987.27336,12.72664000000077,12.72664000000077
20.842199578944417,10000,9989.11604,10.883959999999206,10.883959999999206
20.84106535061177,10000,9987.54004,12.459960000000137,12.459960000000137
20.843662139018033,10000,9991.14849,8.851510000000417,8.851510000000417
20.845507117856634,10000,9993.71277,6.287229999999909,6.287229999999909
20.8468177228338,10000,9995.53461,4.465389999999388,4.465389999999388
20.846352276976845,10000,9994.88758,5.112419999999474,5.112419999999474
20.847418030059924,10000,9996.36915,3.6308499999995547,3.6308499999995547
20.848174968537467,10000,9997.42151,2.5784899999998743,2.5784899999998743
20.84844375259084,10000,9997.79521,2.2047899999997753,2.2047899999997753
20.848903416993853,10000,9998.43433,1.5656699999999546,1.5656699999999546
20.84922984201998,10000,9998.88821,1.1117900000008376,1.1117900000008376
20.84946164167244,10000,9999.21052,0.7894799999994575,0.7894799999994575
