mv,sp,pv,ce,pe
3,1000,13,987,987
3,1000,13,987,987
5,1000,19,981,981
7,1000,25,975,975
9,1000,31,969,969
11,1000,37,963,963
13,1000,43,957,957
15,1000,49,951,951
15,1000,49,951,951
17,1000,55,945,945
19,1000,61,939,939
21,1000,67,933,933
21,1000,67,933,933
21,1000,67,933,933
23,1000,73,927,927
23,1000,73,927,927
23,1000,73,927,927
23,1000,73,927,927
24,1000,76,924,924
25,1000,79,921,921
25,1000,79,921,921
25,1000,79,921,921
25,1000,79,921,921
23,1000,73,927,927
23,1000,73,927,927
25,1000,79,921,921
26,1000,82,918,918
27,1000,85,915,915
27,1000,85,915,915
28,1000,88,912,912
30,1000,94,906,906
30,1000,94,906,906
30,1000,94,906,906
30,1000,94,906,906
30,1000,94,906,906
31,1000,97,903,903
32,1000,100,900,900
34,1000,106,894,894
36,1000,112,888,888
37,1000,115,885,885
38,1000,118,882,882
39,1000,121,879,879
41,1000,127,873,873
42,1000,130,870,870
43,1000,133,867,867
44,1000,136,864,864
45,1000,139,861,861
45,1000,139,861,861
46,1000,142,858,858
47,1000,145,855,855
49,1000,151,849,849
50,1000,154,846,846
52,1000,160,840,840
53,1000,163,837,837
54,1000,166,834,834
55,1000,169,831,831
57,1000,175,825,825
58,1000,178,822,822
58,1000,178,822,822
59,1000,181,819,819
61,1000,187,813,813
59,1000,181,819,819
59,1000,181,819,819
60,1000,184,816,816
61,1000,187,813,813
63,1000,193,807,807
63,1000,193,807,807
64,1000,196,804,804
65,1000,199,801,801
66,1000,202,798,798
66,1000,202,798,798
67,1000,205,795,795
67,1000,205,795,795
69,1000,211,789,789
69,1000,211,789,789
70,1000,214,786,786
70,1000,214,786,786
71,1000,217,783,783
71,1000,217,783,783
73,1000,223,777,777
74,1000,226,774,774
75,1000,229,771,771
77,1000,235,765,765
77,1000,235,765,765
78,1000,238,762,762
79,1000,241,759,759
80,1000,244,756,756
80,1000,244,756,756
82,1000,250,750,750
82,1000,250,750,750
83,1000,253,747,747
83,1000,253,747,747
85,1000,259,741,741
86,1000,262,738,738
86,1000,262,738,738
88,1000,268,732,732
88,1000,268,732,732
89,1000,271,729,729
89,1000,271,729,729
91,1000,277,723,723
92,1000,280,720,720
94,1000,286,714,714
95,1000,289,711,711
95,1000,289,711,711
97,1000,295,705,705
99,1000,301,699,699
100,1000,304,696,696
102,1000,310,690,690
102,1000,310,690,690
102,1000,310,690,690
102,1000,310,690,690
102,1000,310,690,690
104,1000,316,684,684
106,1000,322,678,678
107,1000,325,675,675
108,1000,328,672,672
108,1000,328,672,672
110,1000,334,666,666
110,1000,334,666,666
112,1000,340,660,660
113,1000,343,657,657
113,1000,343,657,657
113,1000,343,657,657
115,1000,349,651,651
115,1000,349,651,651
116,1000,352,648,648
116,1000,352,648,648
118,1000,358,642,642
120,1000,364,636,636
122,1000,370,630,630
124,1000,376,624,624
125,1000,379,621,621
123,1000,373,627,627
125,1000,379,621,621
127,1000,385,615,615
129,1000,391,609,609
130,1000,394,606,606
132,1000,400,600,600
132,1000,400,600,600
133,1000,403,597,597
135,1000,409,591,591
137,1000,415,585,585
139,1000,421,579,579
140,1000,424,576,576
142,1000,430,570,570
142,1000,430,570,570
142,1000,430,570,570
144,1000,436,564,564
146,1000,442,558,558
148,1000,448,552,552
150,1000,454,546,546
151,1000,457,543,543
153,1000,463,537,537
153,1000,463,537,537
154,1000,466,534,534
156,1000,472,528,528
158,1000,478,522,522
159,1000,481,519,519
159,1000,481,519,519
159,1000,481,519,519
159,1000,481,519,519
161,1000,487,513,513
163,1000,493,507,507
165,1000,499,501,501
167,1000,505,495,495
167,1000,505,495,495
167,1000,505,495,495
168,1000,508,492,492
168,1000,508,492,492
168,1000,508,492,492
170,1000,514,486,486
172,1000,520,480,480
174,1000,526,474,474
176,1000,532,468,468
178,1000,538,462,462
179,1000,541,459,459
179,1000,541,459,459
180,1000,544,456,456
180,1000,544,456,456
182,1000,550,450,450
184,1000,556,444,444
185,1000,559,441,441
185,1000,559,441,441
187,1000,565,435,435
189,1000,571,429,429
187,1000,565,435,435
188,1000,568,432,432
188,1000,568,432,432
190,1000,574,426,426
191,1000,577,423,423
191,1000,577,423,423
191,1000,577,423,423
192,1000,580,420,420
192,1000,580,420,420
193,1000,583,417,417
194,1000,586,414,414
194,1000,586,414,414
194,1000,586,414,414
195,1000,589,411,411
196,1000,592,408,408
197,1000,595,405,405
195,1000,589,411,411
197,1000,595,405,405
199,1000,601,399,399
199,1000,601,399,399
201,1000,607,393,393
203,1000,613,387,387
205,1000,619,381,381
206,1000,622,378,378
204,1000,616,384,384
206,1000,622,378,378
206,1000,622,378,378
208,1000,628,372,372
209,1000,631,369,369
210,1000,634,366,366
212,1000,640,360,360
212,1000,640,360,360
212,1000,640,360,360
214,1000,646,354,354
215,1000,649,351,351
216,1000,652,348,348
217,1000,655,345,345
217,1000,655,345,345
219,1000,661,339,339
219,1000,661,339,339
220,1000,664,336,336
221,1000,667,333,333
221,1000,667,333,333
223,1000,673,327,327
223,1000,673,327,327
225,1000,679,321,321
227,1000,685,315,315
229,1000,691,309,309
231,1000,697,303,303
232,1000,700,300,300
232,1000,700,300,300
234,1000,706,294,294
234,1000,706,294,294
234,1000,706,294,294
236,1000,712,288,288
236,1000,712,288,288
236,1000,712,288,288
238,1000,718,282,282
239,1000,721,279,279
239,1000,721,279,279
240,1000,724,276,276
238,1000,718,282,282
238,1000,718,282,282
239,1000,721,279,279
240,1000,724,276,276
240,1000,724,276,276
241,1000,727,273,273
241,1000,727,273,273
243,1000,733,267,267
244,1000,736,264,264
246,1000,742,258,258
246,1000,742,258,258
248,1000,748,252,252
249,1000,751,249,249
251,1000,757,243,243
252,1000,760,240,240
253,1000,763,237,237
254,1000,766,234,234
254,1000,766,234,234
255,1000,769,231,231
255,1000,769,231,231
257,1000,775,225,225
257,1000,775,225,225
259,1000,781,219,219
259,1000,781,219,219
259,1000,781,219,219
259,1000,781,219,219
261,1000,787,213,213
262,1000,790,210,210
264,1000,796,204,204
265,1000,799,201,201
267,1000,805,195,195
268,1000,808,192,192
268,1000,808,192,192
269,1000,811,189,189
269,1000,811,189,189
270,1000,814,186,186
271,1000,817,183,183
272,1000,820,180,180
273,1000,823,177,177
275,1000,829,171,171
276,1000,832,168,168
277,1000,835,165,165
279,1000,841,159,159
277,1000,835,165,165
275,1000,829,171,171
277,1000,835,165,165
277,1000,835,165,165
277,1000,835,165,165
277,1000,835,165,165
278,1000,838,162,162
280,1000,844,156,156
281,1000,847,153,153
283,1000,853,147,147
285,1000,859,141,141
287,1000,865,135,135
289,1000,871,129,129
291,1000,877,123,123
292,1000,880,120,120
294,1000,886,114,114
295,1000,889,111,111
295,1000,889,111,111
296,1000,892,108,108
297,1000,895,105,105
298,1000,898,102,102
300,1000,904,96,96
302,1000,910,90,90
302,1000,910,90,90
303,1000,913,87,87
303,1000,913,87,87
304,1000,916,84,84
305,1000,919,81,81
303,1000,913,87,87
305,1000,919,81,81
307,1000,925,75,75
308,1000,928,72,72
309,1000,931,69,69
311,1000,937,63,63
313,1000,943,57,57
314,1000,946,54,54
316,1000,952,48,48
318,1000,958,42,42
320,1000,964,36,36
320,1000,964,36,36
321,1000,967,33,33
321,1000,967,33,33
321,1000,967,33,33
323,1000,973,27,27
324,1000,976,24,24
322,1000,970,30,30
322,1000,970,30,30
322,1000,970,30,30
324,1000,976,24,24
325,1000,979,21,21
325,1000,979,21,21
325,1000,979,21,21
327,1000,985,15,15
327,1000,985,15,15
327,1000,985,15,15
329,1000,991,9,9
331,1000,997,3,3
332,1000,1000,0,0
332,1000,1000,0,0
333,1000,1003,3,3
334,1000,1006,6,6
336,1000,1012,12,12
337,1000,1015,15,15
339,1000,1021,21,21
341,1000,1027,27,27
343,1000,1033,33,33
343,1000,1033,33,33
345,1000,1039,39,39
347,1000,1045,45,45
347,1000,1045,45,45
348,1000,1048,48,48
348,1000,1048,48,48
348,1000,1048,48,48
349,1000,1051,51,51
349,1000,1051,51,51
349,1000,1051,51,51
350,1000,1054,54,54
350,1000,1054,54,54
350,1000,1054,54,54
350,1000,1054,54,54
351,1000,1057,57,57
349,1000,1051,51,51
349,1000,1051,51,51
349,1000,1051,51,51
347,1000,1045,45,45
349,1000,1051,51,51
349,1000,1051,51,51
351,1000,1057,57,57
349,1000,1051,51,51
349,1000,1051,51,51
349,1000,1051,51,51
347,1000,1045,45,45
345,1000,1039,39,39
345,1000,1039,39,39
345,1000,1039,39,39
