mv,sp,pv,ce,pe
0.6,1000,5.8,994.2,994.2
0.36,1000,5.08,994.92,994.92
0.22,1000,4.66,995.34,995.34
0.13,1000,4.39,995.61,995.61
0.08,1000,4.24,995.76,995.76
0.05,1000,4.15,995.85,995.85
0.03,1000,4.09,995.91,995.91
0.02,1000,4.06,995.94,995.94
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
0.01,1000,4.03,995.97,995.97
