cv,sp,pv,ce,pe
2.239489999999999,10000,1416.26872,8583.73128,8583.73128
2.269529999999999,10000,1522.23483,8477.76517,8477.76517
2.2995899999999994,10000,1634.90613,8365.09387,8365.09387
2.2845599999999995,10000,1577.72047,8422.27953,8422.27953
2.3146199999999997,10000,1693.83361,8306.16639,8306.16639
2.2996,10000,1634.94476,8365.05524,8365.05524
2.2996,10000,1634.94476,8365.05524,8365.05524
2.2996,10000,1634.94476,8365.05524,8365.05524
2.32966,10000,1754.58643,8245.41357,8245.41357
2.35968,10000,1881.36583,8118.63417,8118.63417
2.38962,10000,2015.42351,7984.5764899999995,7984.5764899999995
2.41944,10000,2156.86649,7843.13351,7843.13351
2.44908,10000,2305.6605,7694.3395,7694.3395
2.47852,10000,2461.92321,7538.07679,7538.07679
2.50772,10000,2625.63272,7374.36728,7374.36728
2.53662,10000,2796.59347,7203.40653,7203.40653
2.53662,10000,2796.59347,7203.40653,7203.40653
2.50806,10000,2627.5916,7372.4084,7372.4084
2.50806,10000,2627.5916,7372.4084,7372.4084
2.53696,10000,2798.65921,7201.34079,7201.34079
2.53696,10000,2798.65921,7201.34079,7201.34079
2.5655,10000,2976.70307,7023.29693,7023.29693
2.5936600000000003,10000,3161.6251,6838.3749,6838.3749
2.6213800000000003,10000,3353.00397,6646.99603,6646.99603
2.6486,10000,3550.32019,6449.67981,6449.67981
2.6753,10000,3753.26254,6246.73746,6246.73746
2.64918,10000,3554.62851,6445.3714899999995,6445.3714899999995
2.6758599999999997,10000,3757.62122,6242.37878,6242.37878
2.7019599999999997,10000,3965.54292,6034.45708,6034.45708
2.7274399999999996,10000,4177.76852,5822.23148,5822.23148
2.7522599999999997,10000,4393.5919,5606.4081,5606.4081
2.7763599999999995,10000,4612.04051,5387.95949,5387.95949
2.7997399999999995,10000,4832.60845,5167.39155,5167.39155
2.7884399999999996,10000,4724.9232,5275.0768,5275.0768
2.7769499999999994,10000,4617.50071,5382.49929,5382.49929
2.800309999999999,10000,4838.0945,5161.9055,5161.9055
2.8228899999999992,10000,5059.66664,4940.33336,4940.33336
2.844689999999999,10000,5281.60598,4718.39402,4718.39402
2.865669999999999,10000,5502.85692,4497.14308,4497.14308
2.885809999999999,10000,5722.51554,4277.48446,4277.48446
2.905089999999999,10000,5939.64119,4060.3588099999997,4060.3588099999997
