cv,sp,pv,ce,pe
1.0,150,39.0,111.0,111.0
1.01156,150,39.9376,110.0624,110.0624
0.98836,150,38.08157,111.91843,111.91843
0.9653200000000001,150,36.33714,113.66286,113.66286
0.9767500000000001,150,37.19053,112.80947,112.80947
0.9882300000000002,150,38.07145,111.92855,111.92855
0.9997500000000001,150,38.98001,111.01999,111.01999
1.0113100000000002,150,39.91705,110.08295,110.08295
1.0229100000000002,150,40.88346,109.11654,109.11654
1.0345400000000002,150,41.87929,108.12071,108.12071
1.0461900000000002,150,42.9045,107.0955,107.0955
1.0228500000000003,150,40.8784,109.1216,109.1216
0.9995900000000003,150,38.96722,111.03278,111.03278
1.0111500000000002,150,39.9039,110.0961,110.0961
1.0227500000000003,150,40.86995,109.13005,109.13005
1.0343800000000003,150,41.86541,108.13459,108.13459
1.0460300000000002,150,42.89023,107.10977,107.10977
1.0577000000000003,150,43.94524,106.05476,106.05476
1.0693800000000002,150,45.03032,104.96968,104.96968
1.0460000000000003,150,42.88756,107.11243999999999,107.11243999999999
1.0576700000000003,150,43.94249,106.05751000000001,106.05751000000001
1.0693500000000002,150,45.02749,104.97251,104.97251
1.0459700000000003,150,42.88488,107.11511999999999,107.11511999999999
1.0576400000000004,150,43.93974,106.06026,106.06026
1.0693200000000003,150,45.02467,104.97533,104.97533
1.0693200000000003,150,45.02467,104.97533,104.97533
1.0810100000000002,150,46.14043,103.85956999999999,103.85956999999999
1.0810100000000002,150,46.14043,103.85956999999999,103.85956999999999
1.0810100000000002,150,46.14043,103.85956999999999,103.85956999999999
1.0576100000000002,150,43.93699,106.06300999999999,106.06300999999999
1.06929,150,45.02184,104.97816,104.97816
1.08098,150,46.13753,103.86247,103.86247
1.09268,150,47.28482,102.71518,102.71518
1.10437,150,48.4625,101.5375,101.5375
1.11605,150,49.67119,100.32881,100.32881
1.11605,150,49.67119,100.32881,100.32881
1.12771,150,50.91049,99.08950999999999,99.08950999999999
1.12771,150,50.91049,99.08950999999999,99.08950999999999
1.13935,150,52.18098,97.81902,97.81902
1.15096,150,53.4821,96.5179,96.5179
1.16253,150,54.81318,95.18682,95.18682
1.17406,150,56.17464,93.82536,93.82536
1.1511200000000001,150,53.50027,96.49973,96.49973
1.1626900000000002,150,54.83183,95.16817,95.16817
1.1742200000000003,150,56.19378,93.80622,93.80622
1.1856900000000004,150,57.58406,92.41594,92.41594
1.1971000000000003,150,59.00288,90.99712,90.99712
1.2084500000000002,150,60.45045,89.54955000000001,89.54955000000001
1.2197200000000001,150,61.92431,88.07569000000001,88.07569000000001
1.2309100000000002,150,63.42444,86.57556,86.57556
1.2420100000000003,150,64.94942,85.05058,85.05058
1.2420100000000003,150,64.94942,85.05058,85.05058
1.2530100000000002,150,66.49768,83.50232,83.50232
1.26391,150,68.06894,81.93106,81.93106
1.2747000000000002,150,69.66143,80.33857,80.33857
1.2853700000000001,150,71.27319,78.72681,78.72681
1.2959100000000001,150,72.90212,77.09788,77.09788
1.3063200000000001,150,74.54754,75.45246,75.45246
1.3165900000000001,150,76.20713,73.79287,73.79287
1.3165900000000001,150,76.20713,73.79287,73.79287
1.2963500000000001,150,72.97093,77.02907,77.02907
1.30675,150,74.6163,75.3837,75.3837
1.28623,150,71.40472,78.59528,78.59528
1.29676,150,73.0351,76.9649,76.9649
1.3071599999999999,150,74.68192,75.31808,75.31808
1.3174199999999998,150,76.34285,73.65715,73.65715
1.3275299999999999,150,78.01537,71.98463,71.98463
1.3076299999999998,150,74.75722,75.24278,75.24278
1.31788,150,76.41817,73.58183,73.58183
1.32798,150,78.09065,71.90935,71.90935
1.32798,150,78.09065,71.90935,71.90935
1.30808,150,74.82938,75.17062,75.17062
1.31832,150,76.49028,73.50972,73.50972
1.3284099999999999,150,78.16266,71.83734,71.83734
1.33835,150,79.84553,70.15447,70.15447
1.3481299999999998,150,81.53617,68.46383,68.46383
1.3577399999999997,150,83.23166,66.76834,66.76834
1.3671799999999996,150,84.93076,65.06924,65.06924
1.3764499999999997,150,86.6322,63.3678,63.3678
1.3855399999999998,150,88.3328,61.667199999999994,61.667199999999994
1.3944399999999997,150,90.02922,59.970780000000005,59.970780000000005
1.4031499999999997,150,91.71992,58.28008,58.28008
