cv,sp,pv
100,10000,809
45.955,10000,376.64
45.955,10000,376.64
215.60181,10000,1733.81448
274.05832,10000,2201.46656
427.12162,10000,3425.97296
619.65795,10000,4966.2636
664.1123,10000,5321.8984
774.20424,10000,6202.63392
808.5168,10000,6477.1344
884.28985,10000,7083.3188
913.38114,10000,7316.04912
968.09403,10000,7753.75224
995.44008,10000,7972.52064
1031.14437,10000,8258.15496
1055.95192,10000,8456.61536
1082.37796,10000,8668.02368
1100.45551,10000,8812.64408
1121.25766,10000,8979.06128
1134.7118,10000,9086.6944
1150.97023,10000,9216.76184
1162.15063,10000,9306.20504
1173.19351,10000,9394.54808
1182.65974,10000,9470.27792
1191.15081,10000,9538.20648
1197.84034,10000,9591.72272
1204.6971,10000,9646.5768
1209.56809,10000,9685.54472
1215.01526,10000,9729.12208
1218.98737,10000,9760.89896
1222.71757,10000,9790.74056
1226.04319,10000,9817.34552
1228.93378,10000,9840.47024
1231.27168,10000,9859.17344
1233.61774,10000,9877.94192
1235.31363,10000,9891.50904
1237.18329,10000,9906.46632
1238.5616,10000,9917.4928
1239.84394,10000,9927.75152
1240.99559,10000,9936.96472
1241.99076,10000,9944.92608
1242.7996,10000,9951.3968
1243.60806,10000,9957.86448
1244.19438,10000,9962.55504
1244.83905,10000,9967.7124
1245.31528,10000,9971.52224
1245.75757,10000,9975.06056
1246.15533,10000,9978.24264
1246.49867,10000,9980.98936
1246.77798,10000,9983.22384
1247.05696,10000,9985.45568
1247.2594,10000,9987.0752
1247.48188,10000,9988.85504
1247.64629,10000,9990.17032
1247.79894,10000,9991.39152
1247.93625,10000,9992.49
1248.05475,10000,9993.438
1248.15117,10000,9994.20936
1248.24745,10000,9994.9796
1248.31734,10000,9995.53872
1248.39413,10000,9996.15304
1248.45088,10000,9996.60704
1248.50357,10000,9997.02856
1248.55097,10000,9997.40776
1248.59187,10000,9997.73496
1248.62515,10000,9998.0012
1248.65839,10000,9998.26712
1248.68251,10000,9998.46008
1248.70902,10000,9998.67216
1248.7286,10000,9998.8288
1248.74679,10000,9998.97432
1248.76315,10000,9999.1052
1248.77727,10000,9999.21816
1248.78876,10000,9999.31008
1248.80023,10000,9999.40184
1248.81971,10000,9999.55768
1248.82261,10000,9999.58088
1248.83288,10000,9999.66304
1248.83607,10000,9999.68856
1248.84269,10000,9999.74152
1248.84534,10000,9999.76272
1248.85013,10000,9999.80104
1248.85231,10000,9999.81848
1248.85586,10000,9999.84688
1248.85782,10000,9999.86256
1248.86017,10000,9999.88136
1248.86191,10000,9999.89528
1248.86367,10000,9999.90936
1248.86493,10000,9999.91944
1248.86632,10000,9999.93056
1248.86725,10000,9999.938
1248.86834,10000,9999.94672
1248.86911,10000,9999.95288
1248.86985,10000,9999.9588
1248.8705,10000,9999.964
1248.87108,10000,9999.96864
1248.87153,10000,9999.97224
1248.872,10000,9999.976
1248.87233,10000,9999.97864
1248.8727,10000,9999.9816
1248.87297,10000,9999.98376
1248.87322,10000,9999.98576
1248.87345,10000,9999.9876
1248.87364,10000,9999.98912
1248.87381,10000,9999.99048
1248.87396,10000,9999.99168
1248.87408,10000,9999.99264
1248.8742,10000,9999.9936
1248.8743,10000,9999.9944
1248.87439,10000,9999.99512
1248.87446,10000,9999.99568
