cv,sp,pv
100,10000,809
45.955,10000,376.64
215.60181,10000,1733.81448
274.05832,10000,2201.46656
427.12162,10000,3425.97296
502.53182,10000,4029.25456
607.23303,10000,4866.86424
679.10924,10000,5441.87392
751.6144,10000,6021.9152
886.11675,10000,7097.934
897.4635,10000,7188.708
975.0209,10000,7809.1672
990.41927,10000,7932.35416
1036.10114,10000,8297.80912
1054.19468,10000,8442.55744
1110.83748,10000,8895.69984
1110.83748,10000,8895.69984
1114.41452,10000,8924.31616
1161.31678,10000,9299.53424
1159.38413,10000,9284.07304
1182.44128,10000,9468.53024
1183.74285,10000,9478.9428
1196.92385,10000,9584.3908
1200.09819,10000,9609.78552
1208.71632,10000,9678.73056
1211.68605,10000,9702.4884
1223.01458,10000,9793.11664
1223.01497,10000,9793.11976
1229.34588,10000,9843.76704
1229.74799,10000,9846.98392
1236.2664,10000,9899.1312
1235.83072,10000,9895.64576
1239.36498,10000,9923.91984
1239.4484,10000,9924.5872
1241.43758,10000,9940.50064
1241.83495,10000,9943.6796
1243.05519,10000,9953.44152
1244.44969,10000,9964.59752
1244.70561,10000,9966.64488
1245.53694,10000,9973.29552
1245.78711,10000,9975.29688
1246.28877,10000,9979.31016
1246.91207,10000,9984.29656
1247.0473,10000,9985.3784
1247.39785,10000,9988.1828
1247.50141,10000,9989.01128
1247.74068,10000,9990.92544
1247.84237,10000,9991.73896
1247.99492,10000,9992.95936
1248.21451,10000,9994.71608
1248.25506,10000,9995.04048
1248.25506,10000,9995.04048
1248.45685,10000,9996.6548
1248.53583,10000,9997.28664
1248.53583,10000,9997.28664
1248.57753,10000,9997.62024
1248.62458,10000,9997.99664
1248.65063,10000,9998.20504
1248.71631,10000,9998.73048
1248.71847,10000,9998.74776
1248.75539,10000,9999.04312
1248.76054,10000,9999.08432
1248.79728,10000,9999.37824
1248.79601,10000,9999.36808
1248.81628,10000,9999.53024
1248.8176,10000,9999.5408
1248.82915,10000,9999.6332
1248.83203,10000,9999.65624
1248.83958,10000,9999.71664
1248.84223,10000,9999.73784
1248.84767,10000,9999.78136
1248.85419,10000,9999.83352
1248.85419,10000,9999.83352
1248.85895,10000,9999.8716
1248.86047,10000,9999.88376
1248.86308,10000,9999.90464
1248.86409,10000,9999.91272
1248.86589,10000,9999.92712
1248.86668,10000,9999.93344
1248.868,10000,9999.944
1248.86871,10000,9999.94968
1248.86958,10000,9999.95664
1248.87101,10000,9999.96808
1248.87116,10000,9999.96928
1248.87199,10000,9999.97592
1248.87263,10000,9999.98104
1248.87286,10000,9999.98288
1248.87351,10000,9999.98808
1248.87354,10000,9999.98832
1248.87354,10000,9999.98832
1248.87406,10000,9999.99248
1248.87402,10000,9999.99216
1248.87429,10000,9999.99432
1248.87429,10000,9999.99432
1248.87445,10000,9999.9956
1248.87447,10000,9999.99576
1248.87457,10000,9999.99656
1248.8746,10000,9999.9968
1248.87467,10000,9999.99736
1248.87469,10000,9999.99752
1248.87475,10000,9999.998
1248.8748,10000,9999.9984
1248.87482,10000,9999.99856
1248.87485,10000,9999.9988
1248.87487,10000,9999.99896
1248.87488,10000,9999.99904
1248.8749,10000,9999.9992
1248.87491,10000,9999.99928
1248.87492,10000,9999.99936
1248.87493,10000,9999.99944
1248.87495,10000,9999.9996
