cv,sp,pv
100,10000,809
45.955,10000,376.64
353.41451,10000,2836.31608
371.89664,10000,2984.17312
548.33107,10000,4395.64856
591.76328,10000,4743.10624
707.38685,10000,5668.0948
747.76558,10000,5991.12464
831.03071,10000,6657.24568
870.46257,10000,6972.70056
924.59591,10000,7405.76728
960.92013,10000,7696.36104
997.86862,10000,7991.94896
1065.71621,10000,8534.72968
1071.50723,10000,8581.05784
1110.6236,10000,8893.9888
1118.42379,10000,8956.39032
1159.2363,10000,9282.8904
1158.48358,10000,9276.86864
1181.15531,10000,9458.24248
1183.06044,10000,9473.48352
1196.04188,10000,9577.33504
1199.54794,10000,9605.38352
1208.09041,10000,9673.72328
1211.24138,10000,9698.93104
1217.4227,10000,9748.3816
1220.08911,10000,9769.71288
1224.6488,10000,9806.1904
1227.09404,10000,9825.75232
1230.09781,10000,9849.78248
1232.28226,10000,9867.25808
1236.77896,10000,9903.23168
1237.30507,10000,9907.44056
1241.20966,10000,9938.67728
1241.20966,10000,9938.67728
1242.51855,10000,9949.1484
1243.45641,10000,9956.65128
1243.45641,10000,9956.65128
1244.20524,10000,9962.64192
1244.77043,10000,9967.16344
1245.3316,10000,9971.6528
1246.2568,10000,9979.0544
1246.39603,10000,9980.16824
1246.88211,10000,9984.05688
1247.03337,10000,9985.26696
1247.34675,10000,9987.774
1247.47185,10000,9988.7748
1247.69875,10000,9990.59
1247.80159,10000,9991.41272
1247.96967,10000,9992.75736
1248.06252,10000,9993.50016
1248.17356,10000,9994.38848
1248.2559,10000,9995.0472
1248.33903,10000,9995.71224
1248.39844,10000,9996.18752
1248.46438,10000,9996.71504
1248.50828,10000,9997.06624
1248.6125,10000,9997.9
1248.61753,10000,9997.94024
1248.67682,10000,9998.41456
1248.68625,10000,9998.49
1248.72083,10000,9998.76664
1248.73305,10000,9998.8644
1248.75498,10000,9999.03984
1248.78535,10000,9999.2828
1248.78953,10000,9999.31624
1248.80736,10000,9999.45888
1248.81189,10000,9999.49512
1248.82253,10000,9999.58024
1248.82737,10000,9999.61896
1248.83426,10000,9999.67408
1248.83877,10000,9999.71016
1248.84382,10000,9999.75056
1248.84714,10000,9999.77712
1248.85109,10000,9999.80872
1248.85384,10000,9999.83072
1248.85652,10000,9999.85216
1248.85884,10000,9999.87072
1248.86313,10000,9999.90504
1248.86313,10000,9999.90504
1248.8637,10000,9999.9096
1248.86596,10000,9999.92768
1248.86661,10000,9999.93288
1248.86806,10000,9999.94448
1248.86861,10000,9999.94888
1248.86966,10000,9999.95728
1248.87094,10000,9999.96752
1248.87122,10000,9999.96976
1248.87191,10000,9999.97528
1248.87218,10000,9999.97744
1248.87264,10000,9999.98112
1248.87285,10000,9999.9828
1248.87318,10000,9999.98544
1248.87335,10000,9999.9868
1248.8736,10000,9999.9888
1248.87375,10000,9999.99
1248.87392,10000,9999.99136
1248.87405,10000,9999.9924
1248.87417,10000,9999.99336
1248.87427,10000,9999.99416
1248.87447,10000,9999.99576
1248.87449,10000,9999.99592
1248.8746,10000,9999.9968
1248.87462,10000,9999.99696
1248.87469,10000,9999.99752
1248.87469,10000,9999.99752
1248.87471,10000,9999.99768
1248.87476,10000,9999.99808
1248.87482,10000,9999.99856
1248.87483,10000,9999.99864
1248.87486,10000,9999.99888
