cv,sp,pv
100,10000,809
45.955,10000,376.64
215.60181,10000,1733.81448
285.15195,10000,2290.2156
421.88171,10000,3384.05368
506.63193,10000,4062.05544
611.24392,10000,4898.95136
772.88118,10000,6192.04944
793.93,10000,6360.44
889.16207,10000,7122.29656
912.85023,10000,7311.80184
969.71685,10000,7766.7348
995.27462,10000,7971.19696
1034.54037,10000,8285.32296
1087.44762,10000,8708.58096
1095.66056,10000,8774.28448
1126.99886,10000,9024.99088
1135.56413,10000,9093.51304
1154.36933,10000,9243.95464
1163.29662,10000,9315.37296
1176.36304,10000,9419.90432
1183.28926,10000,9475.31408
1193.16001,10000,9554.28008
1198.55033,10000,9597.40264
1213.17625,10000,9714.41
1213.6486,10000,9718.1888
1221.92085,10000,9784.3668
1227.32529,10000,9827.60232
1235.81923,10000,9895.55384
1235.48708,10000,9892.89664
1239.31898,10000,9923.55184
1239.34232,10000,9923.73856
1242.66046,10000,9950.28368
1242.49667,10000,9948.97336
1244.93572,10000,9968.48576
1244.71149,10000,9966.69192
1245.88963,10000,9976.11704
1245.87031,10000,9975.96248
1246.91327,10000,9984.30616
1246.85942,10000,9983.87536
1247.37854,10000,9988.02832
1247.40519,10000,9988.24152
1247.71537,10000,9990.72296
1247.76607,10000,9991.12856
1247.97602,10000,9992.80816
1248.04288,10000,9993.34304
1248.29043,10000,9995.32344
1248.29329,10000,9995.34632
1248.43294,10000,9996.46352
1248.44974,10000,9996.59792
1248.53053,10000,9997.24424
1248.55567,10000,9997.44536
1248.60945,10000,9997.8756
1248.63111,10000,9998.04888
1248.67039,10000,9998.36312
1248.68831,10000,9998.50648
1248.71749,10000,9998.73992
1248.73367,10000,9998.86936
1248.75296,10000,9999.02368
1248.7673,10000,9999.1384
1248.78175,10000,9999.254
1248.80602,10000,9999.44816
1248.80872,10000,9999.46976
1248.83171,10000,9999.65368
1248.83019,10000,9999.64152
1248.8425,10000,9999.74
1248.84271,10000,9999.74168
1248.85376,10000,9999.83008
1248.85295,10000,9999.8236
1248.85895,10000,9999.8716
1248.85906,10000,9999.87248
1248.86244,10000,9999.89952
1248.8631,10000,9999.9048
1248.86528,10000,9999.92224
1248.86748,10000,9999.93984
1248.86748,10000,9999.93984
1248.86926,10000,9999.95408
1248.86976,10000,9999.95808
1248.87068,10000,9999.96544
1248.8711,10000,9999.9688
1248.87223,10000,9999.97784
1248.87231,10000,9999.97848
1248.87289,10000,9999.98312
1248.87335,10000,9999.9868
1248.87348,10000,9999.98784
1248.87376,10000,9999.99008
1248.87387,10000,9999.99096
1248.8742,10000,9999.9936
1248.87421,10000,9999.99368
1248.8744,10000,9999.9952
1248.87442,10000,9999.99536
1248.87453,10000,9999.99624
1248.87457,10000,9999.99656
1248.87464,10000,9999.99712
1248.87467,10000,9999.99736
1248.87472,10000,9999.99776
1248.87479,10000,9999.99832
1248.8748,10000,9999.9984
1248.8748,10000,9999.9984
1248.87484,10000,9999.99872
1248.87488,10000,9999.99904
1248.87491,10000,9999.99928
1248.87491,10000,9999.99928
1248.87493,10000,9999.99944
1248.87494,10000,9999.99952
1248.87495,10000,9999.9996
1248.87495,10000,9999.9996
1248.87496,10000,9999.99968
1248.87497,10000,9999.99976
1248.87497,10000,9999.99976
1248.87498,10000,9999.99984
