cv,sp,pv
100,10000,809
45.955,10000,376.64
206.8792,10000,1664.0336
279.17464,10000,2242.39712
413.59914,10000,3317.79312
500.81013,10000,4015.48104
604.87737,10000,4848.01896
672.04588,10000,5385.36704
754.1524,10000,6042.2192
810.45813,10000,6492.66504
866.32769,10000,6939.62152
914.10644,10000,7321.85152
1003.02028,10000,8033.16224
1014.86967,10000,8127.95736
1061.54496,10000,8501.35968
1075.14721,10000,8610.17768
1105.10853,10000,8849.86824
1116.57293,10000,8941.58344
1155.43568,10000,9252.48544
1155.43568,10000,9252.48544
1157.60499,10000,9269.83992
1178.37414,10000,9435.99312
1192.89003,10000,9552.12024
1198.52638,10000,9597.21104
1206.46871,10000,9660.74968
1211.09647,10000,9697.77176
1216.19629,10000,9738.57032
1224.95464,10000,9808.63712
1225.77667,10000,9815.21336
1230.83043,10000,9855.64344
1231.88005,10000,9864.0404
1234.861,10000,9887.888
1236.07021,10000,9897.56168
1237.9812,10000,9912.8496
1240.77716,10000,9935.21728
1240.77716,10000,9935.21728
1242.55169,10000,9949.41352
1243.20723,10000,9954.65784
1244.12996,10000,9962.03968
1244.64454,10000,9966.15632
1245.22508,10000,9970.80064
1245.66113,10000,9974.28904
1246.09119,10000,9977.72952
1246.40237,10000,9980.21896
1246.74331,10000,9982.94648
1246.99509,10000,9984.96072
1247.2287,10000,9986.8296
1247.66463,10000,9990.31704
1247.72329,10000,9990.78632
1247.96268,10000,9992.70144
1248.01341,10000,9993.10728
1248.17281,10000,9994.38248
1248.22915,10000,9994.8332
1248.32923,10000,9995.63384
1248.38509,10000,9996.08072
1248.45176,10000,9996.61408
1248.5015,10000,9997.012
1248.55155,10000,9997.4124
1248.58745,10000,9997.6996
1248.62719,10000,9998.01752
1248.65636,10000,9998.25088
1248.68359,10000,9998.46872
1248.70797,10000,9998.66376
1248.72735,10000,9998.8188
1248.74713,10000,9998.97704
1248.7626,10000,9999.1008
1248.77629,10000,9999.21032
1248.78908,10000,9999.31264
1248.79979,10000,9999.39832
1248.80873,10000,9999.46984
1248.81748,10000,9999.53984
1248.82393,10000,9999.59144
1248.83093,10000,9999.64744
1248.83616,10000,9999.68928
1248.84096,10000,9999.72768
1248.84532,10000,9999.76256
1248.84906,10000,9999.79248
1248.85211,10000,9999.81688
1248.85827,10000,9999.86616
1248.85902,10000,9999.87216
1248.86239,10000,9999.89912
1248.86306,10000,9999.90448
1248.86529,10000,9999.92232
1248.86605,10000,9999.9284
1248.86745,10000,9999.9396
1248.86821,10000,9999.94568
1248.86914,10000,9999.95312
1248.86983,10000,9999.95864
1248.87052,10000,9999.96416
1248.87102,10000,9999.96816
1248.87157,10000,9999.97256
1248.87245,10000,9999.9796
1248.87259,10000,9999.98072
1248.87306,10000,9999.98448
1248.87321,10000,9999.98568
1248.87351,10000,9999.98808
1248.87364,10000,9999.98912
1248.87404,10000,9999.99232
1248.87405,10000,9999.9924
1248.87428,10000,9999.99424
1248.8743,10000,9999.9944
1248.87453,10000,9999.99624
1248.87452,10000,9999.99616
1248.87465,10000,9999.9972
1248.87465,10000,9999.9972
1248.87473,10000,9999.99784
1248.87474,10000,9999.99792
1248.87479,10000,9999.99832
1248.8748,10000,9999.9984
1248.87484,10000,9999.99872
1248.87485,10000,9999.9988
