cv,sp,pv
100,10000,809
45.955,10000,376.64
206.8792,10000,1664.0336
279.17464,10000,2242.39712
422.56166,10000,3389.49328
495.8211,10000,3975.5688
609.2033,10000,4882.6264
669.50823,10000,5365.06584
756.414,10000,6060.312
809.32256,10000,6483.58048
867.57001,10000,6949.56008
913.59424,10000,7317.75392
957.72501,10000,7670.80008
990.63563,10000,7934.08504
1025.91439,10000,8216.31512
1050.0785,10000,8409.628
1077.92453,10000,8632.39624
1097.77187,10000,8791.17496
1116.77924,10000,8943.23392
1133.46798,10000,9076.74384
1148.15219,10000,9194.21752
1159.90795,10000,9288.2636
1171.80235,10000,9383.4188
1180.34239,10000,9451.73912
1189.8098,10000,9527.4784
1196.7596,10000,9583.0768
1203.24903,10000,9634.99224
1209.0605,10000,9681.484
1214.09379,10000,9721.75032
1218.17686,10000,9754.41488
1222.26434,10000,9787.11472
1225.22489,10000,9810.79912
1228.48354,10000,9836.86832
1230.88878,10000,9856.11024
1233.12418,10000,9873.99344
1235.13342,10000,9890.06736
1236.86851,10000,9903.94808
1238.2795,10000,9915.236
1239.68923,10000,9926.51384
1240.71196,10000,9934.69568
1241.83616,10000,9943.68928
1242.6668,10000,9950.3344
1243.4381,10000,9956.5048
1244.13185,10000,9962.0548
1244.73061,10000,9966.84488
1245.21776,10000,9970.74208
1245.70428,10000,9974.63424
1246.05735,10000,9977.4588
1246.44536,10000,9980.56288
1246.7321,10000,9982.8568
1246.99832,10000,9984.98656
1247.23779,10000,9986.90232
1247.44446,10000,9988.55568
1247.61262,10000,9989.90096
1247.78055,10000,9991.2444
1247.90242,10000,9992.21936
1248.03635,10000,9993.2908
1248.13533,10000,9994.08264
1248.33552,10000,9995.68416
1248.35929,10000,9995.87432
1248.46393,10000,9996.71144
1248.49254,10000,9996.94032
1248.55582,10000,9997.44656
1248.58595,10000,9997.6876
1248.63004,10000,9998.04032
1248.65344,10000,9998.22752
1248.68677,10000,9998.49416
1248.70705,10000,9998.6564
1248.72932,10000,9998.83456
1248.74691,10000,9998.97528
1248.76246,10000,9999.09968
1248.77704,10000,9999.21632
1248.78924,10000,9999.31392
1248.79944,10000,9999.39552
1248.80941,10000,9999.47528
1248.81746,10000,9999.53968
1248.82439,10000,9999.59512
1248.831,10000,9999.648
1248.83599,10000,9999.68792
1248.8413,10000,9999.7304
1248.84532,10000,9999.76256
1248.84897,10000,9999.79176
1248.85232,10000,9999.81856
1248.85516,10000,9999.84128
1248.85751,10000,9999.86008
1248.85983,10000,9999.87864
1248.86152,10000,9999.89216
1248.86338,10000,9999.90704
1248.86475,10000,9999.918
1248.86602,10000,9999.92816
1248.86717,10000,9999.93736
1248.86815,10000,9999.9452
1248.86896,10000,9999.95168
1248.86976,10000,9999.95808
1248.87035,10000,9999.9628
1248.87099,10000,9999.96792
1248.87146,10000,9999.97168
1248.8719,10000,9999.9752
1248.8723,10000,9999.9784
1248.87264,10000,9999.98112
1248.87292,10000,9999.98336
1248.87319,10000,9999.98552
1248.8734,10000,9999.9872
1248.87361,10000,9999.98888
1248.87378,10000,9999.99024
1248.87393,10000,9999.99144
1248.87407,10000,9999.99256
1248.87418,10000,9999.99344
1248.87428,10000,9999.99424
1248.87437,10000,9999.99496
1248.87445,10000,9999.9956
