cv,sp,pv
100,10000,809
45.955,10000,376.64
215.60181,10000,1733.81448
274.05832,10000,2201.46656
427.12162,10000,3425.97296
502.53182,10000,4029.25456
607.23303,10000,4866.86424
679.10924,10000,5441.87392
751.6144,10000,6021.9152
813.40425,10000,6516.234
869.35174,10000,6963.81392
913.18476,10000,7314.47808
958.36086,10000,7675.88688
993.40386,10000,7956.23088
1024.6079,10000,8205.8632
1053.60972,10000,8437.87776
1075.94867,10000,8616.58936
1099.33877,10000,8803.71016
1117.28101,10000,8947.24808
1133.41753,10000,9076.34024
1148.30109,10000,9195.40872
1174.76175,10000,9407.094
1178.49511,10000,9436.96088
1192.41097,10000,9548.28776
1196.59833,10000,9581.78664
1205.55437,10000,9653.43496
1209.05317,10000,9681.42536
1215.52399,10000,9733.19192
1218.79108,10000,9759.32864
1223.01695,10000,9793.1356
1225.9725,10000,9816.78
1228.8709,10000,9839.9672
1231.37903,10000,9860.03224
1233.61576,10000,9877.92608
1235.38797,10000,9892.10376
1237.19683,10000,9906.57464
1238.61012,10000,9917.88096
1239.86071,10000,9927.88568
1241.02875,10000,9937.23
1241.92474,10000,9944.39792
1242.86602,10000,9951.92816
1243.58619,10000,9957.68952
1244.23532,10000,9962.88256
1244.833,10000,9967.664
1245.33933,10000,9971.71464
1245.75775,10000,9975.062
1246.17044,10000,9978.36352
1246.47303,10000,9980.78424
1246.80279,10000,9983.42232
1247.3366,10000,9987.6928
1247.42126,10000,9988.37008
1247.71624,10000,9990.72992
1247.786,10000,9991.288
1247.98382,10000,9992.87056
1248.04754,10000,9993.38032
1248.18772,10000,9994.50176
1248.25097,10000,9995.00776
1248.34151,10000,9995.73208
1248.4004,10000,9996.2032
1248.46671,10000,9996.73368
1248.51009,10000,9997.08072
1248.5619,10000,9997.4952
1248.59443,10000,9997.75544
1248.63473,10000,9998.07784
1248.66193,10000,9998.29544
1248.72024,10000,9998.76192
1248.72665,10000,9998.8132
1248.75707,10000,9999.05656
1248.76505,10000,9999.1204
1248.7834,10000,9999.2672
1248.79193,10000,9999.33544
1248.80468,10000,9999.43744
1248.81134,10000,9999.49072
1248.82096,10000,9999.56768
1248.82675,10000,9999.614
1248.83317,10000,9999.66536
1248.83821,10000,9999.70568
1248.84268,10000,9999.74144
1248.84686,10000,9999.77488
1248.85037,10000,9999.80296
1248.8533,10000,9999.8264
1248.85616,10000,9999.84928
1248.85847,10000,9999.86776
1248.86047,10000,9999.88376
1248.86236,10000,9999.89888
1248.8638,10000,9999.9104
1248.86532,10000,9999.92256
1248.86648,10000,9999.93184
1248.86752,10000,9999.94016
1248.86849,10000,9999.94792
1248.8693,10000,9999.9544
1248.86998,10000,9999.95984
1248.87064,10000,9999.96512
1248.87113,10000,9999.96904
1248.87166,10000,9999.97328
1248.87206,10000,9999.97648
1248.87242,10000,9999.97936
1248.87313,10000,9999.98504
1248.87318,10000,9999.98544
1248.87318,10000,9999.98544
1248.87359,10000,9999.98872
1248.87388,10000,9999.99104
1248.87399,10000,9999.99192
1248.87415,10000,9999.9932
1248.87424,10000,9999.99392
1248.87435,10000,9999.9948
1248.87442,10000,9999.99536
1248.8745,10000,9999.996
1248.87456,10000,9999.99648
1248.87462,10000,9999.99696
1248.87466,10000,9999.99728
