cv,sp,pv
100,10000,809
45.955,10000,376.64
215.60181,10000,1733.81448
285.15195,10000,2290.2156
421.88171,10000,3384.05368
506.63193,10000,4062.05544
611.24392,10000,4898.95136
676.86619,10000,5423.92952
758.94939,10000,6080.59512
808.97385,10000,6480.7908
872.66296,10000,6990.30368
914.85437,10000,7327.83496
1006.48206,10000,8060.85648
1016.38037,10000,8140.04296
1064.15117,10000,8522.20936
1076.58184,10000,8621.65472
1105.38765,10000,8852.1012
1118.71519,10000,8958.72152
1138.71211,10000,9118.69688
1149.13115,10000,9202.0492
1164.20935,10000,9322.6748
1173.27864,10000,9395.22912
1183.3385,10000,9475.708
1191.22829,10000,9538.82632
1198.24133,10000,9594.93064
1204.7926,10000,9647.3408
1210.28854,10000,9691.30832
1214.87131,10000,9727.97048
1219.36036,10000,9763.88288
1222.98211,10000,9792.85688
1226.10085,10000,9817.8068
1229.0773,10000,9841.6184
1231.31993,10000,9859.55944
1233.71034,10000,9878.68272
1235.51885,10000,9893.1508
1237.16458,10000,9906.31664
1238.66853,10000,9918.34824
1239.95024,10000,9928.60192
1241.00414,10000,9937.03312
1242.04777,10000,9945.38216
1242.81047,10000,9951.48376
1243.64385,10000,9958.1508
1244.26243,10000,9963.09944
1244.83458,10000,9967.67664
1245.35079,10000,9971.80632
1245.79522,10000,9975.36176
1246.15756,10000,9978.26048
1246.51883,10000,9981.15064
1246.78136,10000,9983.25088
1247.06955,10000,9985.5564
1247.28271,10000,9987.26168
1247.48046,10000,9988.84368
1247.65846,10000,9990.26768
1247.81199,10000,9991.49592
1247.93697,10000,9992.49576
1248.06174,10000,9993.49392
1248.27358,10000,9995.18864
1248.30523,10000,9995.44184
1248.41685,10000,9996.3348
1248.45157,10000,9996.61256
1248.5236,10000,9997.1888
1248.55236,10000,9997.41888
1248.60453,10000,9997.83624
1248.62817,10000,9998.02536
1248.66682,10000,9998.33456
1248.68817,10000,9998.50536
1248.71371,10000,9998.70968
1248.73264,10000,9998.86112
1248.75176,10000,9999.01408
1248.76541,10000,9999.12328
1248.78058,10000,9999.24464
1248.79067,10000,9999.32536
1248.80259,10000,9999.42072
1248.81092,10000,9999.48736
1248.81904,10000,9999.55232
1248.82606,10000,9999.60848
1248.83232,10000,9999.65856
1248.83728,10000,9999.69824
1248.84234,10000,9999.73872
1248.84595,10000,9999.7676
1248.84997,10000,9999.79976
1248.85291,10000,9999.82328
1248.85566,10000,9999.84528
1248.85812,10000,9999.86496
1248.86026,10000,9999.88208
1248.86199,10000,9999.89592
1248.86372,10000,9999.90976
1248.86498,10000,9999.91984
1248.86635,10000,9999.9308
1248.86738,10000,9999.93904
1248.86832,10000,9999.94656
1248.86918,10000,9999.95344
1248.86991,10000,9999.95928
1248.87051,10000,9999.96408
1248.87111,10000,9999.96888
1248.87154,10000,9999.97232
1248.87202,10000,9999.97616
1248.87237,10000,9999.97896
1248.87269,10000,9999.98152
1248.87299,10000,9999.98392
1248.87324,10000,9999.98592
1248.87345,10000,9999.9876
1248.87365,10000,9999.9892
1248.87401,10000,9999.99208
1248.87401,10000,9999.99208
1248.87422,10000,9999.99376
1248.8743,10000,9999.9944
1248.87442,10000,9999.99536
1248.87448,10000,9999.99584
1248.87456,10000,9999.99648
1248.8746,10000,9999.9968
